LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1764101749.096710,5400516.000,22281,2,EA,1,100,1.077061
1764101749.096710,5400516.000,22281,2,EA,1,100,1.079232
1764101749.162711,5400582.000,22298,1,EA,1,100,1.081075
1764101749.229711,5400649.000,22317,2,EA,1,100,1.081244
1764101749.296712,5400716.000,22317,2,EA,1,100,1.080405
1764101749.362712,5400782.000,22336,1,EA,1,100,1.077227
1764101749.429713,5400849.000,22350,2,EA,1,100,1.079063
1764101749.496713,5400916.000,22350,2,EA,1,100,1.083600
1764101749.562714,5400982.000,22368,1,EA,1,100,1.085628
1764101749.629714,5401049.000,22384,2,EA,1,100,1.085289
1764101749.696715,5401116.000,22384,2,EA,1,100,1.083938
1764101749.762716,5401182.000,22401,1,EA,1,100,1.082252
1764101749.829716,5401249.000,22416,2,EA,1,100,1.081748
1764101749.896717,5401316.000,22416,2,EA,1,100,1.079900
1764101749.962718,5401382.000,22433,1,EA,1,100,1.078897
1764101750.029718,5401449.000,22449,2,EA,1,100,1.079733
1764101750.096719,5401516.000,22449,2,EA,1,100,1.080572
1764101750.162719,5401582.000,22466,1,EA,1,100,1.081748
1764101750.229220,5401648.500,22483,2,EA,1,100,1.082926
1764101750.295720,5401715.000,22483,2,EA,1,100,1.086645
1764101750.362721,5401782.000,22500,1,EA,1,100,1.096057
1764101750.429722,5401849.000,22518,2,EA,1,100,1.097613
1764101750.496722,5401916.000,22518,2,EA,1,100,1.094162
1764101750.562723,5401982.000,22536,1,EA,1,100,1.092616
1764101750.629723,5402049.000,22551,2,EA,1,100,1.091759
1764101750.696724,5402116.000,22551,2,EA,1,100,1.091075
1764101750.762724,5402182.000,22567,1,EA,1,100,1.089879
1764101750.829225,5402248.500,22584,2,EA,1,100,1.085121
1764101750.895725,5402315.000,22584,2,EA,1,100,1.067315
1764101750.962726,5402382.000,22601,2,EA,1,100,1.050243
1764101751.029727,5402449.000,22601,2,EA,1,100,1.051036
1764101751.095727,5402515.000,22617,1,EA,1,100,1.045666
1764101751.162728,5402582.000,22633,2,EA,1,100,1.028665
1764101751.229728,5402649.000,22633,2,EA,1,100,1.017983
1764101751.295729,5402715.000,22649,1,EA,1,100,1.007811
1764101751.362730,5402782.000,22666,2,EA,1,100,0.995416
1764101751.429730,5402849.000,22666,2,EA,1,100,0.962114
1764101751.495731,5402915.000,22682,1,EA,1,100,0.926631
1764101751.562731,5402982.000,22698,2,EA,1,100,0.905061
1764101751.629732,5403049.000,22698,2,EA,1,100,0.888764
1764101751.695732,5403115.000,22714,1,EA,1,100,0.892755
1764101751.762733,5403182.000,22731,2,EA,1,100,0.913615
1764101751.829734,5403249.000,22731,2,EA,1,100,0.931468
1764101751.895734,5403315.000,22748,1,EA,1,100,0.943591
1764101751.962735,5403382.000,22763,2,EA,1,100,0.947832
1764101752.029735,5403449.000,22763,2,EA,1,100,0.949643
1764101752.095736,5403515.000,22779,1,EA,1,100,0.952371
1764101752.162736,5403582.000,22797,2,EA,1,100,0.955247
1764101752.229737,5403649.000,22797,2,EA,1,100,0.954592
1764101752.295738,5403715.000,22815,1,EA,1,100,0.950680
1764101752.362738,5403782.000,22831,2,EA,1,100,0.936859
1764101752.429739,5403849.000,22831,2,EA,1,100,0.927371
1764101752.495739,5403915.000,22846,1,EA,1,100,0.926014
1764101752.562740,5403982.000,22864,2,EA,1,100,0.925521
1764101752.629740,5404049.000,22864,2,EA,1,100,0.924784
1764101752.695741,5404115.000,22880,1,EA,1,100,0.923557
1764101752.762742,5404182.000,22896,2,EA,1,100,0.924784
1764101752.829742,5404249.000,22896,2,EA,1,100,0.929974
1764101752.896243,5404315.500,22912,2,EA,1,100,0.944872
1764101752.962743,5404382.000,22912,2,EA,1,100,0.961052
1764101753.029744,5404449.000,22929,1,EA,1,100,0.972466
1764101753.096245,5404515.500,22945,2,EA,1,100,0.972874
1764101753.162745,5404582.000,22945,2,EA,1,100,0.970567
