LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1764114936.690429,905034.000,14409,1,HR,1,100,91.10
1764114937.245764,905554.000,14493,1,HR,1,100,96.49
1764114939.822731,907967.000,14871,1,HR,1,100,80.60
1764114946.143936,913886.000,15832,1,HR,1,100,64.96
1764114948.507313,916099.000,16183,1,HR,1,100,56.58
1764114952.849603,920165.000,16849,1,HR,1,100,47.31
1764114954.359687,921579.000,17080,1,HR,1,100,46.32
1764114958.744696,925685.000,17743,1,HR,1,100,39.29
1764114960.766328,927578.000,18057,1,HR,1,100,37.65
1764114961.407099,928178.000,18156,1,HR,1,100,51.51
1764114961.919716,928658.000,18223,1,HR,1,100,67.84
1764114963.044269,929711.000,18408,1,HR,1,100,65.59
1764114963.642322,930271.000,18499,1,HR,1,100,74.82
1764114964.453965,931031.000,18634,1,HR,1,100,75.74
1764114966.176571,932644.000,18898,1,HR,1,100,67.24
1764114968.625384,934937.000,19262,1,HR,1,100,58.15
1764114969.308872,935577.000,19364,1,HR,1,100,66.06
1764114970.561580,936750.000,19562,1,HR,1,100,62.87
1764114973.481359,939484.000,19995,1,HR,1,100,53.80
1764114973.864754,939843.000,20062,1,HR,1,100,78.88
1764114975.203965,941097.000,20265,1,HR,1,100,72.11
1764114975.844736,941697.000,20363,1,HR,1,100,78.31
1764114976.243082,942070.000,20432,1,HR,1,100,97.94
1764114977.823650,943550.000,20664,1,HR,1,100,85.19
1764114978.478304,944163.000,20767,1,HR,1,100,88.48
1764114978.820049,944483.000,20818,1,HR,1,100,110.48
1764114980.798963,946336.000,21138,1,HR,1,100,93.18
1764114981.567888,947056.000,21254,1,HR,1,100,90.99
1764114982.294095,947736.000,21353,1,HR,1,100,90.38
1764114985.127371,950389.000,21790,1,HR,1,100,75.34
1764114986.679104,951842.000,22040,1,HR,1,100,67.86
1764114987.319875,952442.000,22141,1,HR,1,100,75.00
1764114988.061033,953136.000,22242,1,HR,1,100,77.94
1764114996.347270,960895.000,23511,1,HR,1,100,62.35
