LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1764114061.875299,27201.000,2013,1,HR,1,100,57.03
1764114062.929428,28255.000,2179,1,HR,1,100,57.17
1764114063.809535,29135.000,2331,1,HR,1,100,59.62
1764114064.902669,30228.000,2496,1,HR,1,100,58.72
1764114065.822781,31148.000,2644,1,HR,1,100,60.16
1764114066.835905,32161.000,2810,1,HR,1,100,60.13
1764114067.956041,33281.000,2992,1,HR,1,100,58.67
1764114069.129185,34454.000,3191,1,HR,1,100,57.13
1764114070.129307,35454.000,3348,1,HR,1,100,57.76
1764114071.102426,36427.000,3512,1,HR,1,100,58.82
1764114072.315574,37640.000,3711,1,HR,1,100,56.86
1764114073.315696,38640.000,3876,1,HR,1,100,57.56
1764114074.275813,39600.000,4027,1,HR,1,100,58.65
1764114075.049907,40374.000,4166,1,HR,1,100,63.16
1764114076.169044,41493.000,4348,1,HR,1,100,61.03
1764114077.103158,42427.000,4496,1,HR,1,100,61.96
1764114078.183290,43507.000,4680,1,HR,1,100,60.54
1764114079.116404,44440.000,4831,1,HR,1,100,61.58
1764114080.316550,45640.000,5016,1,HR,1,100,59.01
1764114081.049640,46373.000,5134,1,HR,1,100,64.41
1764114081.849738,47173.000,5267,1,HR,1,100,66.76
1764114082.902866,48226.000,5431,1,HR,1,100,64.75
1764114083.822978,49146.000,5581,1,HR,1,100,64.85
1764114085.156141,50479.000,5819,1,HR,1,100,60.54
1764114085.876229,51199.000,5937,1,HR,1,100,65.61
1764114086.476302,51799.000,6020,1,HR,1,100,73.25
1764114087.609441,52932.000,6218,1,HR,1,100,68.88
1764114088.329529,53652.000,6336,1,HR,1,100,72.09
1764114088.942604,54265.000,6437,1,HR,1,100,78.29
1764114090.222760,55545.000,6640,1,HR,1,100,71.31
1764114091.675937,56998.000,6873,1,HR,1,100,64.72
1764114092.236006,57558.000,6956,1,HR,1,100,74.15
1764114093.330139,58652.000,7138,1,HR,1,100,70.02
1764114094.290256,59612.000,7307,1,HR,1,100,68.35
1764114095.983463,61305.000,7576,1,HR,1,100,61.09
1764114096.996587,62318.000,7742,1,HR,1,100,60.85
1764114097.356631,62678.000,7793,1,HR,1,100,84.37
1764114097.836689,63158.000,7879,1,HR,1,100,93.40
1764114099.329872,64651.000,8127,1,HR,1,100,81.65
1764114099.769925,65091.000,8194,1,HR,1,100,93.81
1764114101.223103,66544.000,8435,1,HR,1,100,82.22
1764114102.103210,67424.000,8585,1,HR,1,100,79.10
1764114103.756412,69077.000,8852,1,HR,1,100,69.65
1764114104.396490,69717.000,8970,1,HR,1,100,75.01
1764114104.850546,70171.000,9038,1,HR,1,100,88.64
1764114106.089697,71410.000,9244,1,HR,1,100,79.70
1764114106.809785,72130.000,9363,1,HR,1,100,80.51
1764114107.663889,72984.000,9515,1,HR,1,100,78.49
1764114108.463987,73784.000,9652,1,HR,1,100,77.71
1764114109.837154,75157.000,9868,1,HR,1,100,70.25
1764114110.677257,75997.000,9991,1,HR,1,100,70.51
1764114111.210322,76530.000,10090,1,HR,1,100,80.48
1764114112.450473,77770.000,10287,1,HR,1,100,73.35
1764114113.903651,79223.000,10521,1,HR,1,100,66.31
1764114114.663744,79983.000,10655,1,HR,1,100,69.12
1764114115.236814,80556.000,10740,1,HR,1,100,77.57
1764114115.916897,81236.000,10861,1,HR,1,100,79.94
1764114116.716994,82036.000,10976,1,HR,1,100,78.84
1764114117.130045,82449.000,11043,1,HR,1,100,94.65
1764114118.170172,83489.000,11228,1,HR,1,100,86.44
1764114119.463330,84782.000,11432,1,HR,1,100,77.65
1764114120.223422,85542.000,11565,1,HR,1,100,77.94
1764114121.157537,86476.000,11721,1,HR,1,100,75.11
1764114122.396688,87715.000,11918,1,HR,1,100,69.17
1764114123.290797,88609.000,12070,1,HR,1,100,68.95
1764114124.210909,89529.000,12223,1,HR,1,100,68.12
1764114124.570953,89889.000,12274,1,HR,1,100,90.02
1764114125.464062,90782.000,12424,1,HR,1,100,85.17
1764114127.557318,92875.000,12777,1,HR,1,100,72.65
1764114128.677454,93995.000,12961,1,HR,1,100,68.41
1764114129.610568,94928.000,13111,1,HR,1,100,67.70
1764114129.890603,95208.000,13161,1,HR,1,100,100.28
