LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1763671912.830289,6505185.000,4801,1,EA,1,100,0.179927
1763671912.896289,6505251.000,4818,1,EA,1,100,0.179824
1763671912.962789,6505317.500,4833,2,EA,1,100,0.179768
1763671913.029289,6505384.000,4833,2,EA,1,100,0.179727
1763671913.096289,6505451.000,4851,1,EA,1,100,0.179801
1763671913.162789,6505517.500,4869,2,EA,1,100,0.179903
1763671913.229289,6505584.000,4869,2,EA,1,100,0.180029
1763671913.296289,6505651.000,4885,1,EA,1,100,0.180122
1763671913.362789,6505717.500,4900,2,EA,1,100,0.180201
1763671913.429289,6505784.000,4900,2,EA,1,100,0.180253
1763671913.496289,6505851.000,4919,1,EA,1,100,0.180206
1763671913.562789,6505917.500,4936,2,EA,1,100,0.180145
1763671913.629289,6505984.000,4936,2,EA,1,100,0.180183
1763671913.696289,6506051.000,4952,1,EA,1,100,0.180187
1763671913.762789,6506117.500,4969,2,EA,1,100,0.180290
1763671913.829289,6506184.000,4969,2,EA,1,100,0.180505
1763671913.896289,6506251.000,4986,2,EA,1,100,0.180707
1763671913.963289,6506318.000,4986,2,EA,1,100,0.180848
1763671914.029289,6506384.000,5003,1,EA,1,100,0.180895
1763671914.096289,6506451.000,5022,2,EA,1,100,0.180824
1763671914.163289,6506518.000,5022,2,EA,1,100,0.180711
1763671914.229289,6506584.000,5039,1,EA,1,100,0.180515
1763671914.296289,6506651.000,5053,2,EA,1,100,0.180327
1763671914.363289,6506718.000,5053,2,EA,1,100,0.180290
1763671914.429289,6506784.000,5072,1,EA,1,100,0.180304
1763671914.496289,6506851.000,5089,2,EA,1,100,0.180290
1763671914.563289,6506918.000,5089,2,EA,1,100,0.180257
1763671914.629289,6506984.000,5108,1,EA,1,100,0.180243
1763671914.696289,6507051.000,5122,2,EA,1,100,0.180253
1763671914.763289,6507118.000,5122,2,EA,1,100,0.180309
1763671914.829289,6507184.000,5140,1,EA,1,100,0.181361
1763671914.896289,6507251.000,5163,2,EA,1,100,0.185237
1763671914.963289,6507318.000,5163,2,EA,1,100,0.186523
1763671915.029289,6507384.000,5180,1,EA,1,100,0.186289
1763671915.096289,6507451.000,5197,2,EA,1,100,0.186035
1763671915.163289,6507518.000,5197,2,EA,1,100,0.185975
1763671915.229289,6507584.000,5216,1,EA,1,100,0.186184
1763671915.296289,6507651.000,5232,2,EA,1,100,0.186323
1763671915.363289,6507718.000,5232,2,EA,1,100,0.186378
1763671915.429289,6507784.000,5249,1,EA,1,100,0.186313
1763671915.495789,6507850.500,5264,2,EA,1,100,0.186279
1763671915.562289,6507917.000,5264,2,EA,1,100,0.186388
1763671915.629289,6507984.000,5281,1,EA,1,100,0.186548
1763671915.695789,6508050.500,5297,2,EA,1,100,0.186668
1763671915.762289,6508117.000,5297,2,EA,1,100,0.186723
1763671915.829289,6508184.000,5315,1,EA,1,100,0.186638
1763671915.896289,6508251.000,5330,2,EA,1,100,0.186528
1763671915.963289,6508318.000,5330,2,EA,1,100,0.186428
1763671916.029789,6508384.500,5346,2,EA,1,100,0.186363
1763671916.096289,6508451.000,5346,2,EA,1,100,0.186279
1763671916.162289,6508517.000,5363,1,EA,1,100,0.186234
1763671916.229289,6508584.000,5380,2,EA,1,100,0.186219
1763671916.296289,6508651.000,5380,2,EA,1,100,0.186164
1763671916.362289,6508717.000,5396,1,EA,1,100,0.186084
1763671916.429289,6508784.000,5412,2,EA,1,100,0.185985
1763671916.496289,6508851.000,5412,2,EA,1,100,0.185816
1763671916.562289,6508917.000,5428,1,EA,1,100,0.185563
1763671916.629289,6508984.000,5445,2,EA,1,100,0.185262
1763671916.696289,6509051.000,5445,2,EA,1,100,0.185001
1763671916.762289,6509117.000,5461,1,EA,1,100,0.184932
1763671916.829289,6509184.000,5477,2,EA,1,100,0.185055
1763671916.896289,6509251.000,5477,2,EA,1,100,0.185563
1763671916.962289,6509317.000,5493,1,EA,1,100,0.186688
1763671917.029289,6509384.000,5510,2,EA,1,100,0.186919
1763671917.096289,6509451.000,5510,2,EA,1,100,0.186783
1763671917.162289,6509517.000,5527,1,EA,1,100,0.186683
1763671917.229289,6509584.000,5544,2,EA,1,100,0.186718
1763671917.296289,6509651.000,5544,2,EA,1,100,0.186829
1763671917.362289,6509717.000,5562,1,EA,1,100,0.186839
1763671917.429289,6509784.000,5580,2,EA,1,100,0.186874
1763671917.496289,6509851.000,5580,2,EA,1,100,0.187140
1763671917.562289,6509917.000,5596,1,EA,1,100,0.187291
1763671917.629289,6509984.000,5613,2,EA,1,100,0.187256
1763671917.696289,6510051.000,5613,2,EA,1,100,0.186804
1763671917.762289,6510117.000,5631,1,EA,1,100,0.186458
1763671917.829289,6510184.000,5649,2,EA,1,100,0.186209
1763671917.896289,6510251.000,5649,2,EA,1,100,0.186000
1763671917.962289,6510317.000,5665,1,EA,1,100,0.185836
1763671918.029289,6510384.000,5681,2,EA,1,100,0.185667
1763671918.096289,6510451.000,5681,2,EA,1,100,0.185484
1763671918.162789,6510517.500,5697,2,EA,1,100,0.185346
1763671918.229289,6510584.000,5697,2,EA,1,100,0.185252
1763671918.296289,6510651.000,5714,1,EA,1,100,0.185154
1763671918.362789,6510717.500,5730,2,EA,1,100,0.185021
1763671918.429289,6510784.000,5730,2,EA,1,100,0.184922
1763671918.496289,6510851.000,5748,1,EA,1,100,0.184785
1763671918.562789,6510917.500,5762,2,EA,1,100,0.184692
1763671918.629289,6510984.000,5762,2,EA,1,100,0.184692
1763671918.696289,6511051.000,5779,1,EA,1,100,0.184814
1763671918.762789,6511117.500,5796,2,EA,1,100,0.184986
1763671918.829289,6511184.000,5796,2,EA,1,100,0.185070
1763671918.895289,6511250.000,5815,1,EA,1,100,0.185144
1763671918.962289,6511317.000,5829,2,EA,1,100,0.185168
1763671919.029289,6511384.000,5829,2,EA,1,100,0.185159
1763671919.096289,6511451.000,5846,1,EA,1,100,0.185119
1763671919.162789,6511517.500,5863,2,EA,1,100,0.184972
1763671919.229289,6511584.000,5863,2,EA,1,100,0.184765
1763671919.296289,6511651.000,5882,1,EA,1,100,0.184550
1763671919.362789,6511717.500,5896,2,EA,1,100,0.184281
1763671919.429289,6511784.000,5896,2,EA,1,100,0.183969
1763671919.495289,6511850.000,5914,1,EA,1,100,0.183683
1763671919.562289,6511917.000,5930,2,EA,1,100,0.183392
1763671919.629289,6511984.000,5930,2,EA,1,100,0.183132
1763671919.695289,6512050.000,5947,1,EA,1,100,0.182920
1763671919.762289,6512117.000,5962,2,EA,1,100,0.182713
1763671919.829289,6512184.000,5962,2,EA,1,100,0.182512
1763671919.895289,6512250.000,5979,1,EA,1,100,0.182369
1763671919.962039,6512316.750,6002,4,EA,1,100,0.182216
1763671920.028789,6512383.500,6002,4,EA,1,100,0.182054
1763671920.095539,6512450.250,6002,4,EA,1,100,0.181892
1763671920.162289,6512517.000,6002,4,EA,1,100,0.181750
1763671920.229289,6512584.000,6018,1,EA,1,100,0.181655
1763671920.295789,6512650.500,6033,2,EA,1,100,0.181593
1763671920.362289,6512717.000,6033,2,EA,1,100,0.181541
1763671920.429289,6512784.000,6049,1,EA,1,100,0.181451
1763671920.495789,6512850.500,6067,2,EA,1,100,0.181328
1763671920.562289,6512917.000,6067,2,EA,1,100,0.181191
1763671920.629289,6512984.000,6083,1,EA,1,100,0.181050
1763671920.695789,6513050.500,6098,2,EA,1,100,0.180909
1763671920.762289,6513117.000,6098,2,EA,1,100,0.180791
1763671920.829289,6513184.000,6115,1,EA,1,100,0.180674
1763671920.895789,6513250.500,6132,2,EA,1,100,0.180533
1763671920.962289,6513317.000,6132,2,EA,1,100,0.180398
1763671921.029289,6513384.000,6148,1,EA,1,100,0.180267
1763671921.095789,6513450.500,6164,2,EA,1,100,0.180131
1763671921.162289,6513517.000,6164,2,EA,1,100,0.180015
1763671921.229289,6513584.000,6180,1,EA,1,100,0.179908
1763671921.295789,6513650.500,6197,2,EA,1,100,0.179843
1763671921.362289,6513717.000,6197,2,EA,1,100,0.179773
1763671921.429289,6513784.000,6215,1,EA,1,100,0.179704
1763671921.495789,6513850.500,6231,2,EA,1,100,0.179620
1763671921.562289,6513917.000,6231,2,EA,1,100,0.179583
1763671921.629289,6513984.000,6247,1,EA,1,100,0.179574
1763671921.695789,6514050.500,6264,2,EA,1,100,0.179541
1763671921.762289,6514117.000,6264,2,EA,1,100,0.179523
1763671921.829289,6514184.000,6281,1,EA,1,100,0.179476
1763671921.895789,6514250.500,6297,2,EA,1,100,0.179416
1763671921.962289,6514317.000,6297,2,EA,1,100,0.179255
1763671922.028789,6514383.500,6312,2,EA,1,100,0.179070
1763671922.095289,6514450.000,6312,2,EA,1,100,0.178969
1763671922.162289,6514517.000,6332,1,EA,1,100,0.178895
1763671922.228789,6514583.500,6348,2,EA,1,100,0.178794
1763671922.295289,6514650.000,6348,2,EA,1,100,0.178707
1763671922.362289,6514717.000,6365,1,EA,1,100,0.178702
1763671922.428789,6514783.500,6380,2,EA,1,100,0.178702
1763671922.495289,6514850.000,6380,2,EA,1,100,0.178693
1763671922.562289,6514917.000,6399,1,EA,1,100,0.178707
1763671922.628789,6514983.500,6415,2,EA,1,100,0.178721
1763671922.695289,6515050.000,6415,2,EA,1,100,0.178794
1763671922.762289,6515117.000,6432,1,EA,1,100,0.178858
1763671922.828789,6515183.500,6447,2,EA,1,100,0.178946
1763671922.895289,6515250.000,6447,2,EA,1,100,0.179015
1763671922.962289,6515317.000,6464,1,EA,1,100,0.179116
1763671923.028789,6515383.500,6480,2,EA,1,100,0.179227
1763671923.095289,6515450.000,6480,2,EA,1,100,0.179319
1763671923.162289,6515517.000,6498,1,EA,1,100,0.179402
1763671923.228789,6515583.500,6512,2,EA,1,100,0.179500
1763671923.295289,6515650.000,6512,2,EA,1,100,0.179606
1763671923.362289,6515717.000,6529,1,EA,1,100,0.179750
1763671923.428789,6515783.500,6546,2,EA,1,100,0.179852
1763671923.495289,6515850.000,6546,2,EA,1,100,0.179834
1763671923.562289,6515917.000,6565,1,EA,1,100,0.179787
1763671923.628789,6515983.500,6579,2,EA,1,100,0.179787
1763671923.695289,6516050.000,6579,2,EA,1,100,0.179792
1763671923.762289,6516117.000,6596,1,EA,1,100,0.179773
1763671923.828789,6516183.500,6615,2,EA,1,100,0.179838
1763671923.895289,6516250.000,6615,2,EA,1,100,0.179885
1763671923.962289,6516317.000,6632,1,EA,1,100,0.179834
1763671924.028789,6516383.500,6647,2,EA,1,100,0.179843
1763671924.095289,6516450.000,6647,2,EA,1,100,0.179829
1763671924.162289,6516517.000,6664,1,EA,1,100,0.179824
1763671924.228789,6516583.500,6680,2,EA,1,100,0.179843
1763671924.295289,6516650.000,6680,2,EA,1,100,0.179847
1763671924.361789,6516716.500,6697,2,EA,1,100,0.179922
1763671924.428289,6516783.000,6697,2,EA,1,100,0.179973
1763671924.495289,6516850.000,6714,1,EA,1,100,0.180010
1763671924.561789,6516916.500,6729,2,EA,1,100,0.180052
1763671924.628289,6516983.000,6729,2,EA,1,100,0.180062
1763671924.695289,6517050.000,6747,1,EA,1,100,0.180052
1763671924.761789,6517116.500,6765,2,EA,1,100,0.180043
1763671924.828289,6517183.000,6765,2,EA,1,100,0.180071
1763671924.895289,6517250.000,6781,1,EA,1,100,0.180062
