LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1764108380.520427,12033252.000,44067,2,EA,1,100,0.030226
1764108380.520427,12033252.000,44067,2,EA,1,100,0.030226
1764108380.587437,12033319.000,44085,1,EA,1,100,0.030226
1764108380.653946,12033385.500,44101,2,EA,1,100,0.030226
1764108380.720455,12033452.000,44101,2,EA,1,100,0.030226
1764108380.787464,12033519.000,44118,1,EA,1,100,0.030226
1764108380.853973,12033585.500,44134,2,EA,1,100,0.030226
1764108380.920482,12033652.000,44134,2,EA,1,100,0.030225
1764108380.987491,12033719.000,44150,1,EA,1,100,0.030225
1764108381.054000,12033785.500,44166,2,EA,1,100,0.030225
1764108381.120509,12033852.000,44166,2,EA,1,100,0.030225
1764108381.187518,12033919.000,44184,2,EA,1,100,0.030225
1764108381.254527,12033986.000,44184,2,EA,1,100,0.030225
1764108381.320536,12034052.000,44200,1,EA,1,100,0.030225
1764108381.387545,12034119.000,44215,2,EA,1,100,0.030225
1764108381.454554,12034186.000,44215,2,EA,1,100,0.030225
1764108381.520563,12034252.000,44231,1,EA,1,100,0.030225
1764108381.587572,12034319.000,44249,2,EA,1,100,0.030225
1764108381.654581,12034386.000,44249,2,EA,1,100,0.030225
1764108381.720590,12034452.000,44265,1,EA,1,100,0.030225
1764108381.787599,12034519.000,44280,2,EA,1,100,0.030225
1764108381.854608,12034586.000,44280,2,EA,1,100,0.030225
1764108381.920617,12034652.000,44297,1,EA,1,100,0.030225
1764108381.987626,12034719.000,44316,2,EA,1,100,0.030225
1764108382.054636,12034786.000,44316,2,EA,1,100,0.030225
1764108382.120644,12034852.000,44332,1,EA,1,100,0.030225
1764108382.187654,12034919.000,44348,2,EA,1,100,0.030226
1764108382.254663,12034986.000,44348,2,EA,1,100,0.030226
1764108382.320672,12035052.000,44364,1,EA,1,100,0.030226
1764108382.387681,12035119.000,44381,2,EA,1,100,0.030226
1764108382.454690,12035186.000,44381,2,EA,1,100,0.030226
1764108382.520699,12035252.000,44397,1,EA,1,100,0.030226
1764108382.587708,12035319.000,44413,2,EA,1,100,0.030226
1764108382.654717,12035386.000,44413,2,EA,1,100,0.030226
1764108382.720726,12035452.000,44429,1,EA,1,100,0.030226
1764108382.787235,12035518.500,44446,2,EA,1,100,0.030226
1764108382.853744,12035585.000,44446,2,EA,1,100,0.030225
1764108382.920753,12035652.000,44463,1,EA,1,100,0.030226
1764108382.987262,12035718.500,44479,2,EA,1,100,0.030226
1764108383.053771,12035785.000,44479,2,EA,1,100,0.030225
1764108383.120780,12035852.000,44494,1,EA,1,100,0.030225
1764108383.187289,12035918.500,44512,2,EA,1,100,0.030226
1764108383.253798,12035985.000,44512,2,EA,1,100,0.030226
1764108383.320807,12036052.000,44528,2,EA,1,100,0.030226
1764108383.387816,12036119.000,44528,2,EA,1,100,0.030226
1764108383.453825,12036185.000,44545,1,EA,1,100,0.030226
1764108383.520834,12036252.000,44560,2,EA,1,100,0.030226
1764108383.587843,12036319.000,44560,2,EA,1,100,0.030225
1764108383.653852,12036385.000,44577,1,EA,1,100,0.030225
1764108383.720861,12036452.000,44593,2,EA,1,100,0.030226
1764108383.787870,12036519.000,44593,2,EA,1,100,0.030226
1764108383.853879,12036585.000,44610,1,EA,1,100,0.030225
1764108383.920888,12036652.000,44625,2,EA,1,100,0.030225
1764108383.987897,12036719.000,44625,2,EA,1,100,0.030225
1764108384.053906,12036785.000,44642,1,EA,1,100,0.030225
1764108384.120916,12036852.000,44658,2,EA,1,100,0.030225
1764108384.187925,12036919.000,44658,2,EA,1,100,0.030225
1764108384.253934,12036985.000,44676,1,EA,1,100,0.030225
1764108384.320609,12037051.667,44696,3,EA,1,100,0.030225
1764108384.387285,12037118.333,44696,3,EA,1,100,0.030225
1764108384.453961,12037185.000,44696,3,EA,1,100,0.030225
1764108384.520970,12037252.000,44713,2,EA,1,100,0.030225
1764108384.587979,12037319.000,44713,2,EA,1,100,0.030226
1764108384.653988,12037385.000,44730,1,EA,1,100,0.030225
1764108384.720997,12037452.000,44744,2,EA,1,100,0.030225
1764108384.788006,12037519.000,44744,2,EA,1,100,0.030226
1764108384.854015,12037585.000,44761,1,EA,1,100,0.030226
1764108384.921024,12037652.000,44778,2,EA,1,100,0.030226
1764108384.988033,12037719.000,44778,2,EA,1,100,0.030226
1764108385.054042,12037785.000,44795,1,EA,1,100,0.030226
1764108385.120551,12037851.500,44809,2,EA,1,100,0.030226
1764108385.187060,12037918.000,44809,2,EA,1,100,0.030226
1764108385.254069,12037985.000,44827,1,EA,1,100,0.030226
1764108385.320578,12038051.500,44843,2,EA,1,100,0.030226
1764108385.387087,12038118.000,44843,2,EA,1,100,0.030226
1764108385.454096,12038185.000,44860,1,EA,1,100,0.030226
1764108385.520605,12038251.500,44875,2,EA,1,100,0.030226
1764108385.587114,12038318.000,44875,2,EA,1,100,0.030226
1764108385.654123,12038385.000,44892,1,EA,1,100,0.030225
1764108385.720632,12038451.500,44908,2,EA,1,100,0.030225
1764108385.787141,12038518.000,44908,2,EA,1,100,0.030226
1764108385.854151,12038585.000,44925,1,EA,1,100,0.030225
1764108385.920660,12038651.500,44941,2,EA,1,100,0.030226
1764108385.987169,12038718.000,44941,2,EA,1,100,0.030226
1764108386.054178,12038785.000,44957,2,EA,1,100,0.030225
1764108386.121187,12038852.000,44957,2,EA,1,100,0.030225
1764108386.187196,12038918.000,44973,1,EA,1,100,0.030225
1764108386.254205,12038985.000,44991,2,EA,1,100,0.030225
1764108386.321214,12039052.000,44991,2,EA,1,100,0.030225
1764108386.387223,12039118.000,45007,1,EA,1,100,0.030225
1764108386.454232,12039185.000,45022,2,EA,1,100,0.030225
1764108386.521241,12039252.000,45022,2,EA,1,100,0.030225
1764108386.587250,12039318.000,45039,1,EA,1,100,0.030225
1764108386.654259,12039385.000,45058,2,EA,1,100,0.030225
1764108386.721268,12039452.000,45058,2,EA,1,100,0.030225
1764108386.787277,12039518.000,45074,1,EA,1,100,0.030226
1764108386.854286,12039585.000,45090,2,EA,1,100,0.030226
1764108386.921295,12039652.000,45090,2,EA,1,100,0.030226
1764108386.987304,12039718.000,45108,1,EA,1,100,0.030226
1764108387.054313,12039785.000,45125,2,EA,1,100,0.030226
1764108387.121322,12039852.000,45125,2,EA,1,100,0.030226
1764108387.187331,12039918.000,45141,1,EA,1,100,0.030226
1764108387.254340,12039985.000,45159,2,EA,1,100,0.030226
1764108387.321349,12040052.000,45159,2,EA,1,100,0.030226
1764108387.387358,12040118.000,45175,1,EA,1,100,0.030226
1764108387.454367,12040185.000,45192,2,EA,1,100,0.030226
1764108387.521376,12040252.000,45192,2,EA,1,100,0.030226
1764108387.587385,12040318.000,45209,1,EA,1,100,0.030226
1764108387.654394,12040385.000,45224,2,EA,1,100,0.030226
1764108387.721404,12040452.000,45224,2,EA,1,100,0.030226
1764108387.787412,12040518.000,45240,1,EA,1,100,0.030226
1764108387.854422,12040585.000,45258,2,EA,1,100,0.030226
1764108387.921431,12040652.000,45258,2,EA,1,100,0.030226
1764108387.987440,12040718.000,45274,1,EA,1,100,0.030226
1764108388.054449,12040785.000,45290,2,EA,1,100,0.030226
1764108388.121458,12040852.000,45290,2,EA,1,100,0.030227
1764108388.187467,12040918.000,45305,1,EA,1,100,0.030227
1764108388.254476,12040985.000,45323,2,EA,1,100,0.030226
1764108388.321485,12041052.000,45323,2,EA,1,100,0.030227
1764108388.387994,12041118.500,45339,2,EA,1,100,0.030227
1764108388.454503,12041185.000,45339,2,EA,1,100,0.030227
1764108388.521512,12041252.000,45356,1,EA,1,100,0.030227
1764108388.588021,12041318.500,45371,2,EA,1,100,0.030226
1764108388.654530,12041385.000,45371,2,EA,1,100,0.030227
1764108388.721539,12041452.000,45388,1,EA,1,100,0.030226
1764108388.788048,12041518.500,45404,2,EA,1,100,0.030226
1764108388.854557,12041585.000,45404,2,EA,1,100,0.030226
1764108388.921566,12041652.000,45422,1,EA,1,100,0.030226
1764108388.988075,12041718.500,45436,2,EA,1,100,0.030226
1764108389.054584,12041785.000,45436,2,EA,1,100,0.030226
1764108389.121593,12041852.000,45453,1,EA,1,100,0.030226
1764108389.188102,12041918.500,45470,2,EA,1,100,0.030226
1764108389.254611,12041985.000,45470,2,EA,1,100,0.030226
1764108389.321620,12042052.000,45487,1,EA,1,100,0.030226
1764108389.388129,12042118.500,45501,2,EA,1,100,0.030226
1764108389.454638,12042185.000,45501,2,EA,1,100,0.030226
1764108389.521147,12042251.500,45524,2,EA,1,100,0.030226
1764108389.587656,12042318.000,45524,2,EA,1,100,0.030226
1764108389.654666,12042385.000,45540,1,EA,1,100,0.030226
1764108389.721175,12042451.500,45557,2,EA,1,100,0.030226
1764108389.787684,12042518.000,45557,2,EA,1,100,0.030226
1764108389.854693,12042585.000,45573,1,EA,1,100,0.030226
1764108389.921202,12042651.500,45589,2,EA,1,100,0.030226
1764108389.987711,12042718.000,45589,2,EA,1,100,0.030226
1764108390.054720,12042785.000,45605,1,EA,1,100,0.030226
1764108390.121229,12042851.500,45622,2,EA,1,100,0.030226
1764108390.187738,12042918.000,45622,2,EA,1,100,0.030226
1764108390.254747,12042985.000,45639,1,EA,1,100,0.030226
1764108390.321256,12043051.500,45655,2,EA,1,100,0.030226
1764108390.387765,12043118.000,45655,2,EA,1,100,0.030226
1764108390.454774,12043185.000,45670,1,EA,1,100,0.030226
1764108390.521283,12043251.500,45688,2,EA,1,100,0.030226
1764108390.587792,12043318.000,45688,2,EA,1,100,0.030226
1764108390.654301,12043384.500,45704,2,EA,1,100,0.030226
1764108390.720810,12043451.000,45704,2,EA,1,100,0.030226
1764108390.787819,12043518.000,45721,1,EA,1,100,0.030226
1764108390.854328,12043584.500,45736,2,EA,1,100,0.030226
1764108390.920837,12043651.000,45736,2,EA,1,100,0.030226
1764108390.987846,12043718.000,45755,1,EA,1,100,0.030226
1764108391.054355,12043784.500,45771,2,EA,1,100,0.030226
