LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1763667414.173960,2006849.000,60113,1,HR,1,100,66.05
1763667414.974622,2007649.000,60252,1,HR,1,100,68.04
1763667415.748262,2008422.000,60370,1,HR,1,100,70.46
1763667416.468857,2009142.000,60487,1,HR,1,100,73.32
1763667417.109387,2009782.000,60605,1,HR,1,100,77.86
1763667417.762927,2010435.000,60706,1,HR,1,100,81.39
1763667418.843821,2011515.000,60891,1,HR,1,100,75.65
1763667419.618461,2012289.000,61017,1,HR,1,100,76.38
1763667420.618288,2013288.000,61185,1,HR,1,100,72.74
1763667421.713193,2014382.000,61349,1,HR,1,100,68.92
1763667425.489315,2018155.000,61964,1,HR,1,100,57.15
1763667427.423915,2020088.000,62277,1,HR,1,100,51.40
1763667427.997389,2020661.000,62377,1,HR,1,100,63.78
1763667428.717984,2021381.000,62498,1,HR,1,100,68.13
1763667430.492452,2023154.000,62785,1,HR,1,100,60.56
1763667430.852749,2023514.000,62853,1,HR,1,100,84.14
1763667431.453246,2024114.000,62954,1,HR,1,100,87.67
1763667432.186852,2024847.000,63070,1,HR,1,100,86.70
1763667434.842048,2027500.000,63487,1,HR,1,100,72.49
1763667436.496415,2029153.000,63767,1,HR,1,100,64.51
1763667436.976813,2029633.000,63836,1,HR,1,100,77.95
1763667438.271883,2030927.000,64052,1,HR,1,100,71.05
1763667438.752280,2031407.000,64136,1,HR,1,100,83.04
1763667441.047178,2033700.000,64512,1,HR,1,100,70.43
1763667445.156575,2037806.000,65177,1,HR,1,100,58.05
1763667447.931870,2040579.000,86,1,HR,1,100,49.98
1763667448.585410,2041232.000,204,1,HR,1,100,59.71
1763667449.666304,2042312.000,391,1,HR,1,100,58.78
