LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1764813319.007284,5985184.000,54316,1,HR,1,100,46.25
1764813321.020451,5987197.000,54639,1,HR,1,100,42.64
1764813324.074704,5990251.000,55152,1,HR,1,100,37.55
1764813325.847851,5992024.000,55443,1,HR,1,100,36.78
1764813326.780929,5992957.000,55595,1,HR,1,100,43.10
1764813328.274053,5994450.000,55825,1,HR,1,100,42.53
1764813328.514072,5994690.000,55878,1,HR,1,100,88.64
1764813329.114122,5995290.000,55977,1,HR,1,100,91.16
1764813329.674169,5995850.000,56061,1,HR,1,100,94.71
1764813331.007279,5997183.000,56284,1,HR,1,100,83.77
1764813331.287302,5997463.000,56339,1,HR,1,100,112.77
1764813331.807346,5997983.000,56422,1,HR,1,100,113.35
1764813332.460400,5998636.000,56522,1,HR,1,100,109.00
1764813333.580493,5999756.000,56707,1,HR,1,100,96.68
1764813334.514570,6000690.000,56873,1,HR,1,100,89.69
1764813335.393643,6001569.000,57015,1,HR,1,100,84.91
1764813336.327721,6002503.000,57167,1,HR,1,100,80.53
1764813337.326803,6003502.000,57335,1,HR,1,100,75.97
1764813338.420894,6004596.000,57521,1,HR,1,100,71.43
1764813339.180957,6005356.000,57638,1,HR,1,100,73.10
1764813340.954104,6007129.000,57927,1,HR,1,100,64.43
1764813341.807175,6007982.000,58062,1,HR,1,100,65.99
1764813342.687248,6008862.000,58214,1,HR,1,100,66.48
1764813343.860346,6010035.000,58414,1,HR,1,100,63.20
1764813345.593489,6011768.000,58690,1,HR,1,100,56.90
1764813353.367134,6019541.000,59958,1,HR,1,100,45.99
1764813356.140364,6022314.000,60412,1,HR,1,100,40.60
1764813358.153531,6024327.000,60750,1,HR,1,100,38.24
1764813359.166615,6025340.000,60917,1,HR,1,100,43.08
1764813362.699908,6028873.000,61496,1,HR,1,100,37.29
1764813366.447219,6032620.000,62119,1,HR,1,100,32.59
1764813367.140277,6033313.000,62237,1,HR,1,100,44.96
1764813369.073437,6035246.000,62552,1,HR,1,100,41.91
1764813369.993514,6036166.000,62705,1,HR,1,100,47.09
1764813370.593563,6036766.000,62806,1,HR,1,100,58.85
1764813373.499804,6039672.000,63284,1,HR,1,100,50.40
1764813375.352958,6041525.000,63586,1,HR,1,100,46.45
1764813376.073018,6042245.000,63703,1,HR,1,100,54.64
1764813376.393044,6042565.000,63760,1,HR,1,100,84.17
1764813377.207112,6043379.000,63894,1,HR,1,100,82.13
1764813380.433380,6046605.000,64430,1,HR,1,100,68.05
1764813381.073433,6047245.000,64533,1,HR,1,100,73.76
1764813382.726570,6048898.000,64805,1,HR,1,100,65.50
1764813384.579724,6050751.000,65105,1,HR,1,100,58.19
1764813385.499800,6051671.000,65258,1,HR,1,100,59.75
1764813386.059847,6052231.000,65359,1,HR,1,100,70.28
1764813387.432961,6053604.000,47,1,HR,1,100,64.47
