LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1763668689.457220,3282040.000,6598,1,EA,1,100,0.894590
1763668689.524225,3282107.000,6607,1,EA,1,100,0.892411
1763668689.590729,3282173.500,6623,2,EA,1,100,0.893442
1763668689.657234,3282240.000,6623,2,EA,1,100,0.897591
1763668689.724239,3282307.000,6639,1,EA,1,100,0.899330
1763668689.790743,3282373.500,6656,2,EA,1,100,0.901193
1763668689.857248,3282440.000,6656,2,EA,1,100,0.902713
1763668689.924253,3282507.000,6673,1,EA,1,100,0.903416
1763668689.990757,3282573.500,6688,2,EA,1,100,0.904238
1763668690.057262,3282640.000,6688,2,EA,1,100,0.904355
1763668690.124267,3282707.000,6704,1,EA,1,100,0.904355
1763668690.190772,3282773.500,6722,2,EA,1,100,0.904472
1763668690.257276,3282840.000,6722,2,EA,1,100,0.904708
1763668690.324281,3282907.000,6738,1,EA,1,100,0.904943
1763668690.390786,3282973.500,6753,2,EA,1,100,0.904943
1763668690.457290,3283040.000,6753,2,EA,1,100,0.904943
1763668690.524295,3283107.000,6769,1,EA,1,100,0.904943
1763668690.590800,3283173.500,6787,2,EA,1,100,0.904708
1763668690.657305,3283240.000,6787,2,EA,1,100,0.904591
1763668690.723809,3283306.500,6805,2,EA,1,100,0.904355
1763668690.790314,3283373.000,6805,2,EA,1,100,0.904355
1763668690.857319,3283440.000,6822,1,EA,1,100,0.904355
1763668690.923823,3283506.500,6837,2,EA,1,100,0.904943
1763668690.990328,3283573.000,6837,2,EA,1,100,0.905415
1763668691.057333,3283640.000,6854,1,EA,1,100,0.906121
1763668691.123837,3283706.500,6870,2,EA,1,100,0.906594
1763668691.190342,3283773.000,6870,2,EA,1,100,0.907421
1763668691.257347,3283840.000,6888,1,EA,1,100,0.908250
1763668691.323852,3283906.500,6902,2,EA,1,100,0.909437
1763668691.390356,3283973.000,6902,2,EA,1,100,0.909913
1763668691.457361,3284040.000,6919,1,EA,1,100,0.910269
1763668691.523866,3284106.500,6936,2,EA,1,100,0.910984
1763668691.590370,3284173.000,6936,2,EA,1,100,0.911462
1763668691.657375,3284240.000,6953,1,EA,1,100,0.911462
1763668691.723880,3284306.500,6967,2,EA,1,100,0.911701
1763668691.790385,3284373.000,6967,2,EA,1,100,0.911462
1763668691.857389,3284440.000,6984,1,EA,1,100,0.912059
1763668691.923894,3284506.500,7001,2,EA,1,100,0.912538
